rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,QuantBatchMatmulV3,4140,5120,17408,67,103.11741,1539.0658208955224,1538.684,1576.1572800000001,49445181849600,17052530192,479.5037215306319,42.812832279520705,5.167813742606607,44.14748379428571,2.335748294976375,0.7318591570327454,95.06068031511846
rank0,QuantBatchMatmulV3,15392,5120,8192,48,102.743583,2140.4913125,2140.5215,2144.2074,61976378081280,17904506880,603.2141012765732,53.85840189969403,5.4457497360200104,55.336051858285686,1.8567205203422152,0.8817913129134304,98.93442163464358
rank0,QuantBatchMatmulV3,15364,5120,8192,48,102.71474400000001,2139.8905,2139.7815,2144.7888000000003,61863635189760,17875600128,602.2858333732496,53.77552083689729,5.438484118696727,55.23538856228567,1.8595821750067836,0.8805618274042526,98.99909164515856
rank0,QuantBatchMatmulV3,14860,5120,8192,48,99.183462,2066.322125,2066.5155,2070.2392,59834263142400,17355278592,603.2685483634359,53.86326324673534,5.468174280909856,53.423449234285755,1.856552944850792,0.8798120166948801,99.19835396500879
rank0,QuantBatchMatmulV3,14852,5120,8192,48,99.15343899999999,2065.696645833333,2065.7855,2070.3212,59802050887680,17347019520,603.1263412626566,53.850566184165764,5.467227011662198,53.394688292571374,1.8569906889744852,0.8800203397786334,99.20740466265623
rank0,QuantBatchMatmulV3,14868,5120,8192,48,99.13305100000001,2065.2718958333335,2065.265,2069.1384,59866475397120,17363537664,603.9002612470789,53.9196661827749,5.473558480511206,53.452210176000015,1.8546108883727812,0.8810411925786487,99.22613869437953
rank0,QuantBatchMatmulV3,11820,5120,8192,48,79.263799,1651.3291458333333,1651.382,1656.2192,47593606348800,14216831232,600.4456883122647,53.61122217073792,5.605030059182503,42.49429138285714,1.8652811100169624,0.876978747738296,99.05588039744346
rank0,MatMulV3,15900,3072,5120,48,75.110726,1564.8067916666666,1562.915,1581.0002,24008196096000,14014218240,319.6373856910929,57.07810458769516,5.830649539987139,42.87177874285715,1.751985296679909,0.927935783592346,97.99566117815182
rank0,MatMulV3,15912,3072,5120,48,75.078052,1564.1260833333333,1562.005,1578.6866,24026315489280,14023655424,320.01783276529335,57.14604156523096,5.837115113215776,42.90413480228571,1.749902482499198,0.9289981420002745,98.00331113576307
rank0,MatMulV3,15392,3072,5120,48,72.54698699999999,1511.3955624999999,1511.321,1522.09,23241141780480,13614710784,320.35984872094,57.207115843025,5.864608987827434,41.5020388937143,1.748034287804294,0.9266633400777899,98.34453485024817
rank0,MatMulV3,15364,3072,5120,48,72.334029,1506.9589374999998,1507.0104999999999,1515.4826,23198863196160,13592690688,320.71852649269687,57.27116544512444,5.872361734474931,41.42654142171432,1.7460793616260004,0.9284782148109019,98.35605676579968
