rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,MatMulV3,16384,10240,2560,3,8.738798999999998,2912.9329999999995,2912.053,2915.6986,2576980377600,1415577600,294.8895354613375,52.65884561809598,5.062114370636057,4.601750674285714,1.8990161828696723,0.8660000000000001,97.48796189407722
rank0,MatMulV2,1,5120,124160,8,8.692817999999999,1086.60225,1087.417,1099.3748,10171187200,10173255680,1.1700678882268098,0.20894069432621604,36.572057530710985,3.1791424000000004,2.7343279747393505,0.10449253579219074,95.5436990476506
rank0,MatMulV3,12288,10240,2560,3,6.253280000000001,2084.4266666666667,2085.106,2087.49818,1932735283200,1101004800,309.07544251976555,55.192043307101,5.502136478775937,3.4513130057142853,1.8118553691440162,0.8833316190863035,99.559687200797
rank0,QuantBatchMatmulV3,2048,3072,5120,38,5.052242000000001,132.95373684210526,132.8005,136.861,2448131358720,1634381824,484.56335993406486,43.26458570839865,10.109260799462891,2.1858315702857163,2.3113592413433794,0.7440452844499531,93.30698621225982
rank0,MatMulV2,8,5120,124160,4,4.459977,1114.99425,1113.029,1125.20397,40684748800,5093867520,9.122188029220778,1.6289621480751388,35.69152038228,1.5918336,2.801785940440006,0.10099999999999998,95.7748742056293
rank0,MatMulV2,6,5120,124160,4,4.441816000000001,1110.4540000000002,1107.429,1119.79557,30513561600,5091799040,6.8696140497490195,1.2267167945980393,35.8228976616771,1.5911872,2.791510640608472,0.1015013620555196,95.80748116716222
rank0,MatMulV3,2048,10240,2560,6,2.207017,367.83616666666666,366.5095,372.533,644245094400,629145600,291.90762662906536,52.12636189804739,8.908313800935833,1.1504376685714286,1.9184151043494542,0.8872580587281385,93.59905659947341
rank0,MatMulV2,2048,5120,48,96,1.730319,18.02415625,17.9715,19.429,96636764160,2079326208,55.84910306134302,9.97305411809697,37.5531586950152,0.6497894400000004,2.662891843856371,0.36385965362456285,54.71222512611837
rank1,QuantBatchMatmulV3,16384,5120,17408,67,322.063723,4806.9212388059705,4806.645,4821.7660000000005,195678710005760,49817229312,607.5776190594431,54.248001701735994,4.83379003850117,174.71313393371435,1.8433858734523647,0.8807443978718461,99.65812639166444
rank1,QuantBatchMatmulV3,12288,5120,17408,67,238.304875,3556.7891791044776,3557.025,3588.241,146759032504320,38856415232,615.845699775634,54.98622319425304,5.0954181109387715,131.03485045028572,1.8186373638852076,0.8946257107119608,98.47447647741996
rank1,QuantBatchMatmulV3,16384,8704,5120,67,156.97958799999998,2342.978925373134,2342.688,2350.14346,97839355002880,23786256384,623.2616370663427,55.64836045235204,4.735141182814163,87.35656696685717,1.7969981359221405,0.9072229237854796,99.20510250578566
rank1,QuantBatchMatmulV3,12288,8704,5120,67,117.939536,1760.2915820895523,1760.581,1771.15366,73379516252160,18586318848,622.1791160189065,55.55170678740237,4.924747745319262,65.51742522514286,1.800124708727713,0.9037267379362931,98.23124316509944
rank1,QuantBatchMatmulV3,16384,5120,8192,48,108.838648,2267.4718333333335,2267.6310000000003,2271.5398,65970697666560,18928631808,606.1330132156731,54.119019037113674,5.4348317887962,58.90240863085714,1.8477792424770696,0.881103854514988,99.38390281907948
